0,497,493,79,79
0,438,509,115,115
0,468,576,97,97
0,114,675,78,78
0,447,680,98,98
0,704,566,103,103
0,831,570,115,115
0,743,773,61,61
0,748,617,102,102
0,583,690,112,112
0,698,676,94,94
0,71,790,76,76
0,435,802,81,81
0,507,630,144,144
0,396,752,78,78
0,103,700,121,121
0,367,872,79,79
0,669,990,50,50
0,398,784,129,129
0,54,817,143,143
0,565,859,80,80
0,802,777,152,152
0,716,837,122,122
0,720,974,117,117
0,377,1068,84,84
0,891,999,129,129
0,725,1133,85,85
0,918,1160,71,71
0,658,1060,120,120
0,876,1196,60,60
0,808,1232,146,146
0,626,1214,128,128
1,488,491,84,84
1,620,502,86,86
1,433,528,108,108
1,454,567,110,110
1,141,596,124,124
1,743,613,113,113
1,109,675,80,80
1,92,702,129,129
1,71,787,83,83
1,394,752,81,81
1,672,988,49,49
1,359,868,89,89
1,564,860,78,78
1,717,836,119,119
1,736,736,99,99
1,720,975,116,116
1,399,787,125,125
1,51,813,144,144
1,888,996,138,138
1,656,1060,119,119
1,874,1200,57,57
1,725,1135,86,86
1,786,1224,165,165
1,637,1221,123,123
2,166,454,97,97
2,458,573,107,107
2,108,678,77,77
2,831,574,113,113
2,144,599,117,117
2,742,612,115,115
2,895,629,106,106
2,390,626,113,113
2,902,795,53,53
2,591,698,100,100
2,741,774,62,62
2,429,677,114,114
2,389,751,86,86
2,72,793,74,74
2,418,796,102,102
2,85,703,135,135
2,671,992,47,47
2,566,866,76,76
2,741,997,71,71
2,359,869,93,93
2,720,836,116,116
2,652,766,164,164
2,56,819,144,144
2,888,995,135,135
2,715,1029,81,81
2,724,1137,84,84
2,656,1064,125,125
2,873,1200,61,61
2,744,1197,221,221
2,630,1216,129,129
3,626,513,75,75
3,491,497,81,81
3,465,579,95,95
3,439,534,95,95
3,393,756,78,78
3,109,679,79,79
3,837,576,120,120
3,140,605,116,116
3,694,679,95,95
3,431,677,114,114
3,580,691,123,123
3,103,715,111,111
3,72,794,75,75
3,669,993,49,49
3,562,866,78,78
3,358,873,91,91
3,392,780,134,134
3,48,824,132,132
3,660,774,151,151
3,710,837,128,128
3,727,984,101,101
3,498,880,101,101
3,366,924,122,122
3,723,1140,87,87
3,646,1059,140,140
3,899,1015,126,126
3,919,1168,67,67
3,785,1229,164,164
3,630,1233,115,115
4,497,505,67,67
4,439,536,95,95
4,610,601,84,84
4,388,754,87,87
4,456,577,104,104
4,742,779,62,62
4,71,796,73,73
4,104,679,82,82
